pr_id	pr_gene_id	pr_gene_symbol	pr_gene_title	pr_is_lm	pr_is_bing	tcga_id	cna_gain	cna_gain_deep	cna_loss	cna_loss_deep	mutations	outliers_positive	outliers_negative
207039_at	1029	CDKN2A	cyclin-dependent kinase inhibitor 2A	1	1	CDKN2A|1029	905	0	3719	1190	216	0	64
203461_at	1106	CHD2	chromodomain helicase DNA binding protein 2	0	0	CHD2|1106	1410	158	1872	0	125	0	70
37892_at	1301	COL11A1	collagen type XI alpha 1	0	0	COL11A1|1301	1101	0	2163	50	306	67	0
204920_at	1373	CPS1	carbamoyl-phosphate synthase 1	0	0	CPS1|1373	1235	0	1415	57	175	114	0
202160_at	1387	CREBBP	CREB binding protein	0	1	CREBBP|1387	1934	106	1522	56	226	0	0
NA	NA	CRIPAK	NA	NA	NA	NA	941	99	2398	59	92	0	0
200764_s_at	1495	CTNNA1	catenin alpha 1	0	1	CTNNA1|1495	1352	124	2194	0	69	0	68
204977_at	1662	DDX10	DEAD-box helicase 10	1	1	DDX10|1662	1034	57	2608	115	55	0	0
204909_at	1656	DDX6	DEAD-box helicase 6	0	1	DDX6|1656	1042	74	2539	90	0	0	56
206619_at	27121	DKK4	dickkopf WNT signaling pathway inhibitor 4	0	0	DKK4|27121	2622	340	1780	106	0	119	0
203881_s_at	1756	DMD	dystrophin	0	1	DMD|1756	1230	89	2219	338	381	0	0
213160_at	1794	DOCK2	dedicator of cytokinesis 2	0	1	DOCK2|1794	1465	154	2066	51	209	0	0
214865_at	84444	DOT1L	DOT1-like histone H3K79 methyltransferase	0	0	DOT1L|84444	1128	62	2540	75	85	0	0
NA	NA	ECT2L	NA	NA	NA	NA	1048	81	2438	69	63	0	0
201984_s_at	1956	EGFR	epidermal growth factor receptor	1	1	EGFR|1956	3529	364	463	0	206	74	0
210827_s_at	1999	ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	0	1	ELF3|1999	3556	355	534	0	60	0	66
219012_s_at	56946	EMSY	EMSY, BRCA2-interacting transcriptional repressor	0	1	C11orf30|56946	1529	239	1618	0	73	0	56
213579_s_at	2033	EP300	E1A binding protein p300	0	1	EP300|2033	1157	53	2519	0	186	0	105
203499_at	1969	EPHA2	EPH receptor A2	0	1	EPHA2|1969	989	60	2428	51	103	0	0
215664_s_at	2044	EPHA5	EPH receptor A5	0	1	EPHA5|2044	797	65	2251	0	162	322	0
206852_at	2045	EPHA7	EPH receptor A7	0	0	EPHA7|2045	931	0	2530	152	120	150	0
202894_at	2050	EPHB4	EPH receptor B4	0	1	EPHB4|2050	3324	204	668	0	66	0	51
217886_at	2060	EPS15	epidermal growth factor receptor pathway substrate 15	0	1	EPS15|2060	1165	73	1846	0	52	0	63
202454_s_at	2065	ERBB3	erb-b2 receptor tyrosine kinase 3	1	1	ERBB3|2065	1956	121	939	0	145	0	125
205225_at	2099	ESR1	estrogen receptor 1	0	1	ESR1|2099	1020	98	2517	92	61	0	0
206501_x_at	2115	ETV1	ets variant 1	1	1	ETV1|2115	3552	167	664	0	59	67	0
203358_s_at	2146	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit	1	1	EZH2|2146	3013	141	1053	53	70	0	0
218080_x_at	11124	FAF1	Fas associated factor 1	0	1	FAF1|11124	1141	73	1931	50	57	0	0
NA	NA	FANCD2	NA	NA	NA	NA	1126	113	2662	90	91	0	0
201579_at	2195	FAT1	FAT atypical cadherin 1	1	1	FAT1|2195	614	0	3115	257	349	0	58
NA	NA	FAT3	NA	NA	NA	NA	1245	98	2178	60	468	0	0
211535_s_at	2260	FGFR1	fibroblast growth factor receptor 1	0	1	FGFR1|2260	2393	438	2214	129	57	0	0
203639_s_at	2263	FGFR2	fibroblast growth factor receptor 2	1	1	FGFR2|2263	897	81	2554	0	117	0	89
204379_s_at	2261	FGFR3	fibroblast growth factor receptor 3	0	1	FGFR3|2261	983	132	2462	52	61	0	0
204579_at	2264	FGFR4	fibroblast growth factor receptor 4	1	1	FGFR4|2264	1579	189	2144	0	66	0	53
222033_s_at	2321	FLT1	fms related tyrosine kinase 1	0	1	FLT1|2321	1359	100	2761	53	136	0	0
206674_at	2322	FLT3	fms related tyrosine kinase 3	0	1	FLT3|2322	1334	105	2752	60	145	0	0
NA	NA	FOXP1	NA	NA	NA	NA	941	58	2953	172	70	0	0
214093_s_at	8880	FUBP1	far upstream element (FUSE) binding protein 1	0	1	FUBP1|8880	1057	64	1988	0	71	0	161
210446_at	2623	GATA1	GATA binding protein 1 (globin transcription factor 1)	0	0	GATA1|2623	1283	93	1782	59	0	115	0
202615_at	2776	GNAQ	guanine nucleotide binding protein (G protein), q polypeptide	0	1	GNAQ|2776	1106	0	2267	50	74	0	61
218241_at	9950	GOLGA5	golgin A5	0	1	GOLGA5|9950	1260	54	2333	0	52	0	62
205814_at	2913	GRM3	glutamate receptor, metabotropic 3	0	1	GRM3|2913	3299	147	640	0	155	170	0
205425_at	3092	HIP1	huntingtin interacting protein 1	0	1	HIP1|3092	3198	97	634	0	86	0	83
NA	NA	HOOK3	NA	NA	NA	NA	2689	309	1714	99	52	0	0
211968_s_at	3320	HSP90AA1	heat shock protein 90kDa alpha family class A member 1	0	1	HSP90AA1|3320	1316	70	2308	57	66	0	0
209341_s_at	3551	IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta	1	1	IKBKB|3551	2662	354	1810	107	57	0	0
215776_at	3645	INSRR	insulin receptor-related receptor	0	0	INSRR|3645	3660	428	373	0	121	230	0
201648_at	3716	JAK1	Janus kinase 1	0	1	JAK1|3716	1133	74	2007	0	78	0	55
205842_s_at	3717	JAK2	Janus kinase 2	0	1	JAK2|3717	1217	158	3097	139	93	0	0
202423_at	7994	KAT6A	K(lysine) acetyltransferase 6A	1	1	MYST3|7994	2629	371	1802	109	131	0	0
202383_at	8242	KDM5C	lysine (K)-specific demethylase 5C	0	1	KDM5C|8242	1298	78	1749	62	112	0	0
212080_at	4297	KMT2A	lysine (K)-specific methyltransferase 2A	0	1	MLL|4297	1081	81	2598	97	219	0	0
NA	NA	KMT2C	NA	NA	NA	NA	3070	142	1171	94	487	0	0
214352_s_at	3845	KRAS	Kirsten rat sarcoma viral oncogene homolog	0	1	KRAS|3845	2429	292	909	0	447	76	0
NA	NA	LATS2	NA	NA	NA	NA	1304	76	2870	74	69	0	0
202822_at	4026	LPP	LIM domain containing preferred translocation partner in lipoma	0	1	LPP|4026	3088	681	804	57	56	0	0
206609_at	9947	MAGEC1	MAGE family member C1	0	0	MAGEC1|9947	957	62	983	0	234	270	0
203266_s_at	6416	MAP2K4	mitogen-activated protein kinase kinase 4	0	1	MAP2K4|6416	760	0	3491	142	82	0	66
212945_s_at	23269	MGA	MGA, MAX dimerization protein	0	1	MGA|23269	779	0	2615	94	198	0	58
202520_s_at	4292	MLH1	mutL homolog 1	0	1	MLH1|4292	975	0	2812	88	60	0	118
205408_at	8028	MLLT10	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10	0	1	MLLT10|8028	1400	91	1900	0	67	0	79
204917_s_at	4300	MLLT3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3	0	1	MLLT3|4300	1053	80	3238	219	0	0	96
214939_x_at	4301	MLLT4	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 4	0	1	MLLT4|4301	983	58	2625	123	118	0	0
214614_at	3110	MNX1	motor neuron and pancreas homeobox 1	0	1	MNX1|3110	2625	139	1049	50	0	173	0
205395_s_at	4361	MRE11A	MRE11 homolog A, double strand break repair nuclease	0	1	MRE11A|4361	1194	87	2142	62	0	0	65
204956_at	4507	MTAP	methylthioadenosine phosphorylase	0	1	MTAP|4507	925	53	3569	974	0	0	266
202288_at	2475	MTOR	mechanistic target of rapamycin (serine/threonine kinase)	0	1	MTOR|2475	1011	65	2589	55	192	0	0
217109_at	4585	MUC4	mucin 4, cell surface associated	0	0	MUC4|4585	843	121	268	0	340	67	0
204798_at	4602	MYB	v-myb avian myeloblastosis viral oncogene homolog	0	1	MYB|4602	1063	91	2341	57	50	0	0
212867_at	10499	NCOA2	nuclear receptor coactivator 2	0	1	NCOA2|10499	3916	394	595	0	97	0	193
200857_s_at	9611	NCOR1	nuclear receptor corepressor 1	0	1	NCOR1|9611	899	67	3504	92	190	0	0
208759_at	23385	NCSTN	nicastrin	0	1	NCSTN|23385	3749	468	364	0	55	0	56
33767_at	4744	NEFH	neurofilament, heavy polypeptide	0	1	NEFH|4744	1314	77	2493	0	127	137	0
NA	NA	NEGR1	NA	NA	NA	NA	1118	73	2140	85	51	0	0
219084_at	64324	NSD1	nuclear receptor binding SET domain protein 1	0	1	NSD1|64324	1606	195	2146	51	181	0	0
200747_s_at	4926	NUMA1	nuclear mitotic apparatus protein 1	0	1	NUMA1|4926	1577	236	1543	0	112	0	54
213990_s_at	57144	PAK7	p21 protein (Cdc42/Rac)-activated kinase 7	0	1	PAK7|57144	2999	97	894	0	126	250	0
207058_s_at	5071	PARK2	parkin RBR E3 ubiquitin protein ligase	0	1	PARK2|5071	938	60	2953	281	68	0	0
202239_at	143	PARP4	poly(ADP-ribose) polymerase family member 4	0	1	PARP4|143	1327	83	2758	60	111	0	0
204742_s_at	23047	PDS5B	PDS5 cohesin associated factor B	0	1	PDS5B|23047	1292	90	2800	100	90	0	0
215129_at	5288	PIK3C2G	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma	0	1	PIK3C2G|5288	2265	181	1123	0	142	227	0
204297_at	5289	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3	1	1	PIK3C3|5289	931	61	3105	77	65	0	0
204369_at	5290	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	1	1	PIK3CA|5290	3176	755	630	0	825	0	55
203879_at	5293	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	0	1	PIK3CD|5293	1012	65	2434	64	62	0	0
213677_s_at	5378	PMS1	PMS1 homolog 1, mismatch repair system component	0	1	PMS1|5378	1422	97	962	0	61	0	56
217192_s_at	639	PRDM1	PR domain 1	0	1	PRDM1|639	988	83	2502	135	78	0	0
220928_s_at	63976	PRDM16	PR domain 16	0	0	PRDM16|63976	1084	84	2605	96	114	0	0
205277_at	7799	PRDM2	PR domain 2	0	1	PRDM2|7799	975	61	2591	56	124	0	0
207709_at	5563	PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2	0	1	PRKAA2|5563	1119	86	1752	0	70	0	73
212610_at	5781	PTPN11	protein tyrosine phosphatase, non-receptor type 11	0	1	PTPN11|5781	1515	61	1169	0	56	0	80
210823_s_at	5802	PTPRS	protein tyrosine phosphatase, receptor type S	0	0	PTPRS|5802	1225	73	2296	0	118	0	51
205948_at	11122	PTPRT	protein tyrosine phosphatase, receptor type T	0	1	PTPRT|11122	3634	223	412	0	270	55	0
209349_at	10111	RAD50	RAD50 double strand break repair protein	0	1	RAD50|10111	1271	114	2320	53	64	0	0
219661_at	64901	RANBP17	RAN binding protein 17	0	1	RANBP17|64901	1499	167	2197	0	73	0	167
202677_at	5921	RASA1	RAS p21 protein activator 1	1	1	RASA1|5921	1030	0	2580	104	104	0	123
203132_at	5925	RB1	retinoblastoma 1	1	1	RB1|5925	1150	0	3351	401	199	0	148
218704_at	54894	RNF43	ring finger protein 43	0	1	RNF43|54894	2382	229	1149	0	124	0	122
208768_x_at	6146	RPL22	ribosomal protein L22	0	1	RPL22|6146	1030	72	2592	81	63	0	0
209360_s_at	861	RUNX1	runt related transcription factor 1	0	1	RUNX1|861	1278	76	1983	80	73	0	0
205933_at	26040	SETBP1	SET binding protein 1	0	1	SETBP1|26040	922	73	3130	86	162	0	0
212493_s_at	29072	SETD2	SET domain containing 2	0	1	SETD2|29072	866	0	3229	124	223	0	105
201071_x_at	23451	SF3B1	splicing factor 3b subunit 1	0	1	SF3B1|23451	1421	82	994	0	140	0	81
202527_s_at	4089	SMAD4	SMAD family member 4	0	1	SMAD4|4089	822	0	3355	229	127	0	72
203874_s_at	6594	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	0	1	SMARCA1|6594	1362	64	1502	0	83	0	67
213720_s_at	6597	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	1	1	SMARCA4|6597	1550	174	1848	0	177	0	70
201589_at	8243	SMC1A	structural maintenance of chromosomes 1A	1	1	SMC1A|8243	1312	77	1719	58	85	0	0
218629_at	6608	SMO	smoothened, frizzled class receptor	0	1	SMO|6608	2971	125	909	0	53	0	83
201997_s_at	23013	SPEN	spen family transcriptional repressor	1	1	SPEN|23013	997	69	2564	0	242	0	60
206626_x_at	6756	SSX1	synovial sarcoma, X breakpoint 1	0	0	SSX1|6756	1270	99	1756	64	0	101	0
209023_s_at	10735	STAG2	stromal antigen 2	0	1	STAG2|10735	1487	79	1564	0	141	0	85
201331_s_at	6778	STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	0	1	STAT6|6778	1839	95	946	0	59	0	70
212287_at	23512	SUZ12	SUZ12 polycomb repressive complex 2 subunit	1	1	SUZ12|23512	1729	90	1550	0	53	0	69
209447_at	23345	SYNE1	spectrin repeat containing, nuclear envelope 1	0	1	SYNE1|23345	1009	68	2596	77	564	0	0
219682_s_at	6926	TBX3	T-box 3	0	1	TBX3|6926	1474	55	1255	0	80	63	0
208986_at	6938	TCF12	transcription factor 12	0	1	TCF12|6938	889	0	2331	69	59	0	79
219840_s_at	27004	TCL6	T-cell leukemia/lymphoma 6 (non-protein coding)	0	0	TCL6|27004	1231	56	2312	54	0	175	0
206702_at	7010	TEK	TEK receptor tyrosine kinase	0	1	TEK|7010	1096	65	3074	156	112	0	0
207199_at	7015	TERT	telomerase reverse transcriptase	1	1	TERT|7015	3134	546	801	0	50	320	0
206649_s_at	7030	TFE3	transcription factor binding to IGHM enhancer 3	0	1	TFE3|7030	1280	94	1739	60	54	0	0
207334_s_at	7048	TGFBR2	transforming growth factor beta receptor II	1	1	TGFBR2|7048	1007	56	2824	111	78	0	0
211689_s_at	7113	TMPRSS2	transmembrane protease, serine 2	0	1	TMPRSS2|7113	1290	60	2221	110	0	78	0
208901_s_at	7150	TOP1	topoisomerase (DNA) I	0	1	TOP1|7150	3454	168	382	0	60	0	119
201746_at	7157	TP53	tumor protein p53	1	1	TP53|7157	759	0	3793	162	1931	0	201
201731_s_at	7175	TPR	translocated promoter region, nuclear basket protein	0	1	TPR|7175	3606	334	520	0	168	0	61
202642_s_at	8295	TRRAP	transformation/transcription domain-associated protein	0	1	TRRAP|8295	3383	232	630	0	230	0	66
NA	NA	WDR90	NA	NA	NA	NA	2046	114	1628	59	87	0	0
209054_s_at	7468	WHSC1	Wolf-Hirschhorn syndrome candidate 1	0	1	WHSC1|7468	957	120	2491	55	94	0	0
221248_s_at	54904	WHSC1L1	Wolf-Hirschhorn syndrome candidate 1-like 1	0	1	WHSC1L1|54904	2385	449	2207	128	82	0	0
210861_s_at	8838	WISP3	WNT1 inducible signaling pathway protein 3	0	0	WISP3|8838	964	59	2528	133	0	79	0
205667_at	7486	WRN	Werner syndrome, RecQ helicase-like	0	1	WRN|7486	1490	51	3383	283	99	0	0
206067_s_at	7490	WT1	Wilms tumor 1	0	1	WT1|7490	1109	92	1714	0	61	216	0
208775_at	7514	XPO1	exportin 1	0	1	XPO1|7514	1862	109	596	0	64	0	66
207402_at	7691	ZNF132	zinc finger protein 132	0	1	ZNF132|7691	1737	115	1674	50	54	0	0
203739_at	7764	ZNF217	zinc finger protein 217	0	1	ZNF217|7764	3650	362	280	0	79	0	89
219228_at	55422	ZNF331	zinc finger protein 331	0	1	ZNF331|55422	1722	96	1597	0	58	0	73
206059_at	7644	ZNF91	zinc finger protein 91	0	0	ZNF91|7644	1566	93	1475	0	118	0	70
207664_at	2515	ADAM2	ADAM metallopeptidase domain 2	0	0	ADAM2|2515	1068	156	870	60	69	0	0
NA	NA	AMER1	NA	NA	NA	NA	1353	62	1545	55	148	0	0
210649_s_at	8289	ARID1A	AT-rich interaction domain 1A	0	1	ARID1A|8289	858	0	2591	70	406	0	54
205345_at	580	BARD1	BRCA1 associated RING domain 1	0	1	BARD1|580	1140	0	1487	55	58	0	177
220115_s_at	1008	CDH10	cadherin 10	0	1	CDH10|1008	1923	297	437	0	207	314	0
212515_s_at	1654	DDX3X	DEAD-box helicase 3, X-linked	0	1	DDX3X|1654	1143	0	1916	84	85	0	72
205585_at	2120	ETV6	ets variant 6	0	1	ETV6|2120	2183	179	1264	76	59	0	0
219208_at	80204	FBXO11	F-box protein 11	1	1	FBXO11|80204	1802	78	644	0	63	0	102
218751_s_at	55294	FBXW7	F-box and WD repeat domain containing 7	0	1	FBXW7|55294	610	52	2918	82	225	0	0
40562_at	2767	GNA11	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)	1	1	GNA11|2767	1010	0	2458	74	64	0	259
220773_s_at	10243	GPHN	gephyrin	0	1	GPHN|10243	1068	0	2467	68	66	0	68
206534_at	2903	GRIN2A	glutamate receptor, ionotropic, N-methyl D-aspartate 2A	0	0	GRIN2A|2903	2044	141	1344	0	252	65	0
205376_at	8821	INPP4B	inositol polyphosphate-4-phosphatase type II B	1	1	INPP4B|8821	648	59	2707	63	75	0	0
NA	NA	MAML2	NA	NA	NA	NA	1200	119	2196	77	66	0	0
200600_at	4478	MSN	moesin	0	1	MSN|4478	1312	58	1533	0	61	0	56
205455_at	4486	MST1R	macrophage stimulating 1 receptor	0	1	MST1R|4486	755	0	3042	125	82	0	57
201146_at	4780	NFE2L2	nuclear factor, erythroid 2 like 2	1	1	NFE2L2|4780	1557	139	954	0	114	0	75
213032_at	4781	NFIB	nuclear factor I/B	0	1	NFIB|4781	1112	116	3080	140	0	0	54
202647_s_at	4893	NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	1	1	NRAS|4893	1183	0	1973	72	195	0	69
219530_at	79728	PALB2	partner and localizer of BRCA2	0	1	PALB2|79728	1932	81	1289	0	70	0	57
209337_at	11168	PSIP1	PC4 and SFRS1 interacting protein 1	1	1	PSIP1|11168	1071	95	2914	115	55	0	0
211711_s_at	5728	PTEN	phosphatase and tensin homolog	0	1	PTEN|5728	691	0	2891	440	418	0	152
208121_s_at	5800	PTPRO	protein tyrosine phosphatase, receptor type O	0	1	PTPRO|5800	2175	147	1182	55	95	0	0
200608_s_at	5885	RAD21	RAD21 cohesin complex component	0	1	RAD21|5885	4401	769	435	0	64	0	70
207624_s_at	6103	RPGR	retinitis pigmentosa GTPase regulator	0	1	RPGR|6103	1145	57	1903	81	53	0	0
210366_at	10599	SLCO1B1	solute carrier organic anion transporter family member 1B1	0	0	SLCO1B1|10599	1237	118	436	0	58	59	0
203075_at	4087	SMAD2	SMAD family member 2	0	1	SMAD2|4087	872	59	2988	93	57	0	0
NA	NA	SPECC1	NA	NA	NA	NA	955	131	2815	68	74	0	0
209794_at	9901	SRGAP3	SLIT-ROBO Rho GTPase activating protein 3	0	1	SRGAP3|9901	1198	124	2639	96	100	0	0
202293_at	10274	STAG1	stromal antigen 1	0	1	STAG1|10274	2664	271	875	0	113	0	145
220205_at	7179	TPTE	transmembrane phosphatase with tensin homology	0	0	TPTE|7179	743	0	1539	70	223	174	0
NA	NA	TUBA3C	NA	NA	NA	NA	1164	73	2209	68	92	0	0
219768_at	79679	VTCN1	V-set domain containing T cell activation inhibitor 1	0	0	VTCN1|79679	1271	76	1819	73	0	108	0
213342_at	10413	YAP1	Yes associated protein 1	0	1	YAP1|10413	1240	169	2165	72	0	0	60
217562_at	339479	BRINP3	bone morphogenetic protein/retinoic acid inducible neural-specific 3	0	1	FAM5C|339479	2139	206	277	0	182	526	0
214044_at	6262	RYR2	ryanodine receptor 2	0	1	RYR2|6262	2406	275	280	0	366	93	0
206937_at	6708	SPTA1	spectrin alpha, erythrocytic 1	0	0	SPTA1|6708	2078	279	203	0	263	225	0
220269_at	79740	ZBBX	zinc finger, B-box domain containing	0	1	ZBBX|79740	959	288	185	0	50	181	0
206280_at	1016	CDH18	cadherin 18	0	1	CDH18|1016	815	158	139	0	63	211	0
208123_at	9312	KCNB2	potassium channel, voltage gated Shab related subfamily B, member 2	0	0	KCNB2|9312	1888	166	267	0	147	290	0
206990_at	7143	TNR	tenascin R	0	0	TNR|7143	1166	102	182	0	153	231	0
207149_at	1010	CDH12	cadherin 12	0	0	CDH12|1010	875	186	132	0	63	145	0
210168_at	729	C6	complement component 6	0	1	C6|729	802	127	159	0	109	149	0
213332_at	60676	PAPPA2	pappalysin 2	0	0	PAPPA2|60676	945	78	103	0	176	107	0
206290_s_at	6000	RGS7	regulator of G-protein signaling 7	0	1	RGS7|6000	1406	142	173	0	76	246	0
